,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
13,0.7582919,-1.9787289,-2.26566,-0.27668214,0.79990155,-0.5092878,1.0098375,-0.39523008,-2.8628445,0.9408398,2.7898157,-0.8920263,-2.151816,-1.8523394,-0.88463193,-1.9810405,0.95464706,1.6924102,-2.4312456,1.8858753,-1.0585173,-0.3564648,0.25508982,1.4456227,1.4193667,1.6627579,-1.863166,0.5413331,0.6354752,-1.4361964
14,3.6901045,0.39635912,-0.3801043,-2.6893961,-4.3440657,5.1656656,1.2313087,3.0134158,-1.3248158,-0.5621004,-0.15805517,3.9587262,0.6340027,1.1584004,-1.3968904,-1.3655722,2.1528435,0.7322853,0.3077502,1.5356705,-4.13118,-0.8990169,-1.5415466,-3.719206,1.0410663,1.6564356,-0.29416975,-2.585779,-1.1528245,-3.6878724
15,2.6627977,-1.1982142,0.66408485,4.3445454,2.0836592,4.1646175,3.2996438,-1.35012,-0.12012613,-1.5161811,4.8111124,-0.48633587,-3.8518682,0.3770114,-2.2273457,-0.7861105,4.8845615,0.5390102,0.6381744,0.037243754,2.4768233,1.2234573,-2.7168946,-0.50115156,-2.0853174,3.629747,-1.3593104,1.2129866,0.9744084,-3.915914
16,1.1572741,0.52069944,-2.4365976,-1.4093072,0.44373095,-0.59773535,0.062216375,-2.3636255,-2.5373273,0.19888909,4.022033,1.1425765,1.6014075,-1.7750354,-0.3003845,-0.9688574,0.12706912,1.791872,-1.2959305,3.8458633,-2.5718513,-3.1346557,0.44508693,2.437127,3.686971,0.99094516,0.03912607,-0.6585785,-0.7280807,-1.9116697
17,1.1861308,0.1670575,-0.3499424,-0.05500498,-0.08726906,0.7583252,0.2026995,-0.702355,-1.1373935,0.33843467,0.9851073,-0.21506739,0.019132769,-0.8289136,-0.516458,-1.4231367,0.7616454,-0.30090478,-1.343206,0.60612977,-0.049165864,0.054540135,-0.26995432,0.94914705,0.61040777,0.83516926,-1.0835636,0.13986772,-0.04819855,-0.92491466
18,1.4151938,0.2891842,-0.24813475,0.22125745,-0.07191521,1.1689078,0.614111,-0.26380682,-0.95719606,-0.90725684,1.1935692,0.26127613,-0.45844606,-0.5055339,-0.5893305,-1.1676451,1.341387,0.06823126,-0.55688745,0.9499865,-0.4092621,0.085762136,-1.0296239,0.9177291,0.599419,0.9560743,-0.9674713,0.3390128,0.37421325,-1.3579761
19,4.2846375,1.1508747,-4.395574,-2.9658303,-1.4640106,0.29708183,1.4632794,-4.1534214,-1.739223,2.918023,-0.56325173,-0.49587947,3.2472603,-2.1958747,-1.7282995,-2.0033557,0.7842685,0.476533,-2.773665,-0.047570378,-3.016965,0.20482066,-0.013366621,-0.47172,4.0178742,1.9706746,-3.6197777,0.058280494,-2.6145067,0.71423775
20,0.41393274,0.1440342,-0.3068115,-0.20633778,-0.26011175,0.5637272,0.26338688,-0.15771826,-0.2733123,0.019927688,0.2914627,0.11192577,-0.17391057,-0.12367754,-0.36677048,-0.35340887,0.17685059,-0.052593242,-0.37893617,0.16115391,0.06472527,0.1289299,-0.13046308,0.10215896,0.48698637,0.15807256,-0.23943932,-0.20847832,0.008267675,-0.56710166
21,3.0225506,0.70497805,1.1872832,1.867618,-0.97140366,3.2977266,0.39572877,0.41816518,2.147752,-4.0669684,1.9482815,-0.61718607,-2.4332714,-0.4512139,-1.4714494,-0.6638807,-0.7679695,-0.32212573,1.2120254,1.4166547,-1.639384,0.8700018,-2.1553714,-0.5813339,0.40478858,2.2996428,-1.7580746,0.5394839,-1.756839,-3.7866457
22,1.2206036,0.122678526,0.5785245,-0.3426066,-0.17704405,1.895757,0.8300738,0.28053755,-1.4288404,0.11341573,1.6358118,0.8068207,0.22522637,-0.80009294,-0.6476288,-0.79236805,0.1544452,0.30746886,-0.70027983,0.53920186,-0.36838964,-0.56433934,-0.39554754,1.0000935,0.23633991,1.0451581,-1.1380306,-0.528867,-0.38302526,-1.3893281
